param_model__n_estimators,param_model__max_depth,param_model__max_features,mean_test_score,std_test_score,rank_test_score
200,5,sqrt,0.8720779107691333,0.016846014307188246,1
200,5,log2,0.8720779107691333,0.016846014307188246,1
300,5,sqrt,0.8714606620014143,0.01823969532033781,3
300,5,log2,0.8714606620014143,0.01823969532033781,3
100,5,log2,0.8710098767191242,0.022321701490827264,5
100,5,sqrt,0.8710098767191242,0.022321701490827264,5
100,10,log2,0.8638770674350612,0.028191927677599832,7
100,10,sqrt,0.8638770674350612,0.028191927677599832,7
300,10,sqrt,0.8637904647309036,0.028026813640008707,9
300,10,log2,0.8637904647309036,0.028026813640008707,9
200,10,log2,0.8628372280801747,0.028145614808681718,11
200,10,sqrt,0.8628372280801747,0.028145614808681718,11
300,15,sqrt,0.8528856089631953,0.037883183732686454,13
300,15,log2,0.8528856089631953,0.037883183732686454,13
300,,sqrt,0.8516131270911835,0.03908723398202041,15
300,,log2,0.8515920833201397,0.03906446240752622,16
200,15,log2,0.851509597015083,0.03836538970033499,17
200,15,sqrt,0.851509597015083,0.03836538970033499,17
100,15,sqrt,0.8511398599368819,0.0368187877895754,19
100,15,log2,0.8511398599368819,0.0368187877895754,19
100,,sqrt,0.8492306027885965,0.03911024471587338,21
100,,log2,0.8492306027885965,0.03911024471587338,21
200,,sqrt,0.8491800185765703,0.03829070901023173,23
200,,log2,0.8491800185765703,0.03829070901023173,23
