title,price_gbp,rating
A Flight of Arrows (The Pathfinders #2),55.53,5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5
A Time of Torment (Charlie Parker #14),48.35,5
Deep Under (Walker Security #1),47.09,5
While You Were Mine,41.32,5
The Red Tent,35.66,5
Black Dust,34.53,5
Mrs. Houdini,30.25,5
The Passion of Dolssa,28.32,5
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
Chase Me (Paris Nights #2),25.27,5
The Silkworm (Cormoran Strike #2),23.05,5
Voyager (Outlander #3),21.07,5
Between Shades of Gray,20.79,5
A Spy's Devotion (The Regency Spies of London #1),16.97,5
A Gentleman's Position (Society of Gentlemen #3),14.75,5
The Girl You Lost,12.29,5
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4
The Past Never Ends,56.5,4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4
Sharp Objects,47.82,4
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4
Dirty (Dive Bar #1),40.83,4
A Paris Apartment,39.01,4
Bounty (Colorado Mountain #7),37.26,4
Imperfect Harmony,34.74,4
World Without End (The Pillars of the Earth #2),32.97,4
The Marriage of Opposites,28.08,4
Lost Among the Living,27.7,4
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4
Something More Than This,16.24,4
First and First (Five Boroughs #3),15.97,4
