title,price_gbp,rating
Blood Defense (Samantha Brinkman #1),20.3,3
"Love, Lies and Spies",20.55,2
Between Shades of Gray,20.79,5
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4
"Sit, Stay, Love",20.9,3
Voyager (Outlander #3),21.07,5
Fifty Shades Darker (Fifty Shades #2),21.96,1
The Silkworm (Cormoran Strike #2),23.05,5
The Wedding Dress,24.12,1
Career of Evil (Cormoran Strike #3),24.72,2
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4
Chase Me (Paris Nights #2),25.27,5
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
Extreme Prey (Lucas Davenport #26),25.4,3
Starlark,25.83,3
Girl With a Pearl Earring,26.77,1
Poisonous (Max Revere Novels #3),26.8,3
The Widow,27.26,2
Best of My Love (Fool's Gold #20),27.41,2
Lost Among the Living,27.7,4
The Marriage of Opposites,28.08,4
The Passion of Dolssa,28.32,5
"Rhythm, Chord & Malykhin",28.34,2
Hold Your Breath (Search and Rescue #1),28.82,1
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3
Mrs. Houdini,30.25,5
A Girl's Guide to Moving On (New Beginnings #2),31.3,1
The Wedding Pact (The O'Malleys #2),32.61,3
World Without End (The Pillars of the Earth #2),32.97,4
Her Backup Boyfriend (The Sorensen Family #1),33.97,1
Black Dust,34.53,5
The Secret Healer,34.56,3
Imperfect Harmony,34.74,4
Most Wanted,35.28,3
Doing It Over (Most Likely To #1),35.61,3
The Red Tent,35.66,5
The House by the Lake,36.95,1
Bounty (Colorado Mountain #7),37.26,4
The Invention of Wings,37.34,1
In the Woods (Dublin Murder Squad #1),38.38,2
My Perfect Mistake (Over the Top #1),38.92,2
A Paris Apartment,39.01,4
Fighting Fate (Fighting #6),39.24,3
Where Lightning Strikes (Bleeding Stars #3),39.77,3
