title,price_gbp,rating,category_name
A Flight of Arrows (The Pathfinders #2),55.53,5,Historical Fiction
A Paris Apartment,39.01,4,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),16.97,5,Historical Fiction
Between Shades of Gray,20.79,5,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,Historical Fiction
Girl With a Pearl Earring,26.77,1,Historical Fiction
Girl in the Blue Coat,46.83,2,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,3,Historical Fiction
Lilac Girls,17.28,2,Historical Fiction
Lost Among the Living,27.7,4,Historical Fiction
"Love, Lies and Spies",20.55,2,Historical Fiction
Mrs. Houdini,30.25,5,Historical Fiction
Starlark,25.83,3,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,3,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,1,Historical Fiction
The House by the Lake,36.95,1,Historical Fiction
The Invention of Wings,37.34,1,Historical Fiction
The Last Painting of Sara de Vos,55.55,2,Historical Fiction
The Marriage of Opposites,28.08,4,Historical Fiction
The Passion of Dolssa,28.32,5,Historical Fiction
The Red Tent,35.66,5,Historical Fiction
The Secret Healer,34.56,3,Historical Fiction
Tipping the Velvet,53.74,1,Historical Fiction
Voyager (Outlander #3),21.07,5,Historical Fiction
While You Were Mine,41.32,5,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,4,Historical Fiction
1st to Die (Women's Murder Club #1),53.98,1,Mystery
A Murder in Time,16.64,1,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,2,Mystery
A Time of Torment (Charlie Parker #14),48.35,5,Mystery
Blood Defense (Samantha Brinkman #1),20.3,3,Mystery
Boar Island (Anna Pigeon #19),59.48,3,Mystery
Career of Evil (Cormoran Strike #3),24.72,2,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,Mystery
Extreme Prey (Lucas Davenport #26),25.4,3,Mystery
Hide Away (Eve Duncan #20),11.84,1,Mystery
"In a Dark, Dark Wood",19.63,1,Mystery
In the Woods (Dublin Murder Squad #1),38.38,2,Mystery
Most Wanted,35.28,3,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,Mystery
Playing with Fire,13.71,3,Mystery
Poisonous (Max Revere Novels #3),26.8,3,Mystery
Sharp Objects,47.82,4,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1,Mystery
That Darkness (Gardiner and Renner #1),13.92,1,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,Mystery
The Exiled,43.45,3,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,3,Mystery
The Girl You Lost,12.29,5,Mystery
The Last Mile (Amos Decker #2),54.21,2,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,Mystery
The Past Never Ends,56.5,4,Mystery
The Silkworm (Cormoran Strike #2),23.05,5,Mystery
The Widow,27.26,2,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,Mystery
A Gentleman's Position (Society of Gentlemen #3),14.75,5,Romance
A Girl's Guide to Moving On (New Beginnings #2),31.3,1,Romance
A Walk to Remember,56.43,1,Romance
Best of My Love (Fool's Gold #20),27.41,2,Romance
Black Dust,34.53,5,Romance
Bounty (Colorado Mountain #7),37.26,4,Romance
Changing the Game (Play by Play #2),13.38,3,Romance
Charity's Cross (Charles Towne Belles #4),41.24,1,Romance
Chase Me (Paris Nights #2),25.27,5,Romance
Dark Lover (Black Dagger Brotherhood #1),12.87,1,Romance
Deep Under (Walker Security #1),47.09,5,Romance
Dirty (Dive Bar #1),40.83,4,Romance
Doing It Over (Most Likely To #1),35.61,3,Romance
Fifty Shades Darker (Fifty Shades #2),21.96,1,Romance
Fighting Fate (Fighting #6),39.24,3,Romance
First and First (Five Boroughs #3),15.97,4,Romance
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,Romance
Hold Your Breath (Search and Rescue #1),28.82,1,Romance
Imperfect Harmony,34.74,4,Romance
Listen to Me (Fusion #1),58.99,3,Romance
My Perfect Mistake (Over the Top #1),38.92,2,Romance
Off the Hook (Fishing for Trouble #1),47.67,3,Romance
Reservations for Two,11.1,3,Romance
"Rhythm, Chord & Malykhin",28.34,2,Romance
"Sit, Stay, Love",20.9,3,Romance
Something More Than This,16.24,4,Romance
Suddenly in Love (Lake Haven #1),55.99,2,Romance
Take Me Home Tonight (Rock Star Romance #3),53.98,3,Romance
The Obsession,45.43,1,Romance
The Perfect Play (Play by Play #1),59.99,3,Romance
The Purest Hook (Second Circle Tattoos #3),12.25,1,Romance
The Wedding Dress,24.12,1,Romance
The Wedding Pact (The O'Malleys #2),32.61,3,Romance
This One Moment (Pushing Limits #1),48.71,1,Romance
Where Lightning Strikes (Bleeding Stars #3),39.77,3,Romance
