title,price_gbp,price_inr,rating,in_stock,category
Sharp Objects,47.82,5045.01,4,True,Mystery
"In a Dark, Dark Wood",19.63,2070.96,1,True,Mystery
The Past Never Ends,56.5,5960.75,4,True,Mystery
A Murder in Time,16.64,1755.52,1,True,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,True,Mystery
The Last Mile (Amos Decker #2),54.21,5719.15,2,True,Mystery
That Darkness (Gardiner and Renner #1),13.92,1468.56,1,True,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1127.79,1,True,Mystery
A Time of Torment (Charlie Parker #14),48.35,5100.93,5,True,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,1765.02,2,True,Mystery
Poisonous (Max Revere Novels #3),26.8,2827.4,3,True,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,True,Mystery
Most Wanted,35.28,3722.04,3,True,Mystery
Hide Away (Eve Duncan #20),11.84,1249.12,1,True,Mystery
Boar Island (Anna Pigeon #19),59.48,6275.14,3,True,Mystery
The Widow,27.26,2875.93,2,True,Mystery
Playing with Fire,13.71,1446.41,3,True,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5,True,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,True,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.89,4,True,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4,True,Mystery
In the Woods (Dublin Murder Squad #1),38.38,4049.09,2,True,Mystery
The Silkworm (Cormoran Strike #2),23.05,2431.78,5,True,Mystery
The Exiled,43.45,4583.98,3,True,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,2026.66,1,True,Mystery
Extreme Prey (Lucas Davenport #26),25.4,2679.7,3,True,Mystery
Career of Evil (Cormoran Strike #3),24.72,2607.96,2,True,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,True,Mystery
The Girl You Lost,12.29,1296.59,5,True,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,1672.17,3,True,Mystery
Blood Defense (Samantha Brinkman #1),20.3,2141.65,3,True,Mystery
1st to Die (Women's Murder Club #1),53.98,5694.89,1,True,Mystery
Tipping the Velvet,53.74,5669.57,1,True,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3132.3,3,True,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,5858.41,5,True,Historical Fiction
The House by the Lake,36.95,3898.23,1,True,Historical Fiction
Mrs. Houdini,30.25,3191.38,5,True,Historical Fiction
The Marriage of Opposites,28.08,2962.44,4,True,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,4836.12,3,True,Historical Fiction
"Love, Lies and Spies",20.55,2168.03,2,True,Historical Fiction
A Paris Apartment,39.01,4115.55,4,True,Historical Fiction
Lilac Girls,17.28,1823.04,2,True,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,1753.41,3,True,Historical Fiction
The Invention of Wings,37.34,3939.37,1,True,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,3478.34,4,True,Historical Fiction
The Passion of Dolssa,28.32,2987.76,5,True,Historical Fiction
Girl With a Pearl Earring,26.77,2824.24,1,True,Historical Fiction
Voyager (Outlander #3),21.07,2222.89,5,True,Historical Fiction
The Red Tent,35.66,3762.13,5,True,Historical Fiction
The Last Painting of Sara de Vos,55.55,5860.52,2,True,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,5225.41,1,True,Historical Fiction
Girl in the Blue Coat,46.83,4940.56,2,True,Historical Fiction
Between Shades of Gray,20.79,2193.34,5,True,Historical Fiction
While You Were Mine,41.32,4359.26,5,True,Historical Fiction
The Secret Healer,34.56,3646.08,3,True,Historical Fiction
Starlark,25.83,2725.06,3,True,Historical Fiction
Lost Among the Living,27.7,2922.35,4,True,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),16.97,1790.33,5,True,Historical Fiction
Chase Me (Paris Nights #2),25.27,2665.99,5,True,Romance
Black Dust,34.53,3642.91,5,True,Romance
Her Backup Boyfriend (The Sorensen Family #1),33.97,3583.84,1,True,Romance
